,,,,,,,,,,,
,Treecko,,Learnset,,Grovyle,,Learnset,,Sceptile,,Learnset
,Ability 1,Speed Boost,16 - Double Kick,,Ability 1,Speed Boost,16 - Double Kick,,Ability 1,Speed Boost,16 - Double Kick
,Ability 2,Speed Boost,21 - Brick Break,,Ability 2,Speed Boost,21 - Brick Break,,Ability 2,Speed Boost,21 - Brick Break
,Base Stats,,28 - Fire Punch,,Base Stats,,28 - Fire Punch,,Base Stats,,28 - Fire Punch
,HP,45,32 - Thunder Punch,,HP,60,32 - Thunder Punch,,HP,80,32 - Thunder Punch
,Attack,60,36 - Blaze Kick,,Attack,85,36 - Blaze Kick,,Attack,120,36 - Blaze Kick
,Defense,40,42 - Earthquake,,Defense,60,42 - Earthquake,,Defense,70,42 - Earthquake
,Special Attack,70,50 - Detect,,Special Attack,85,50 - Detect,,Special Attack,115(+5),50 - Detect
,Special Defense,50,56 - Sky Uppercut,,Special Defense,60,56 - Sky Uppercut,,Special Defense,70,56 - Sky Uppercut
,Speed,45,74 - Overheat,,Speed,55,74 - Overheat,,Speed,80,74 - Overheat
,,,84 - Superpower,,Evolves at level 16.,,84 - Superpower,,Evolves at level 36.,,84 - Superpower
,,,84 - Blast Burn,,,,84 - Blast Burn,,,,84 - Blast Burn
,,,100 - Baton Pass,,,,100 - Baton Pass,,,,100 - Baton Pass
,,,,,,,,,,,
,,,,,,,,,,,
,Mudkip,,Learnset,,Marshtomp,,Learnset,,Swampert,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Tackle
,,,1 - Slack Off,,,,1 - Slack Off,,,,1 - Slack Off
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl
,,,1 - Mud Slap,,,,1 - Mud Slap,,,,1 - Mud Slap
,,,1 - Water Gun,,,,1 - Water Gun,,,,1 - Water Gun
,WATER,,10 - Aqua Jet,,WATER,GROUND,10 - Aqua Jet,,WATER,GROUND,10 - Aqua Jet
,Ability 1,Water Absorb,15 - BubbleBeam,,Ability 1,Water Absorb,15 - BubbleBeam,,Ability 1,Water Absorb,15 - BubbleBeam
,Ability 2,Damp,16 - Mud Shot,,Ability 2,Damp,16 - Mud Shot,,Ability 2,Damp,16 - Mud Shot
,Base Stats,,20 - Rock Slide,,Base Stats,,20 - Rock Slide,,Base Stats,,20 - Rock Slide
,HP,50,25 - Dig,,HP,70,25 - Dig,,HP,100,25 - Dig
,Attack,70,31 - Aurora Beam,,Attack,85,31 - Aurora Beam,,Attack,110,31 - Aurora Beam
,Defense,50,36 - Muddy Water,,Defense,70,36 - Muddy Water,,Defense,90,36 - Muddy Water
,Special Attack,50,50 - Protect,,Special Attack,60,50 - Protect,,Special Attack,105(+20),50 - Protect
,Special Defense,50,52 - Earthquake,,Special Defense,70,52 - Earthquake,,Special Defense,90,52 - Earthquake
,Speed,40,74 - Fissure,,Speed,50,74 - Fissure,,Speed,60,74 - Fissure
,,,74 - Hydro Cannon,,Evolves at level 16.,,74 - Hydro Cannon,,Evolves at level 36.,,74 - Hydro Cannon
,,,,,,,,,,,
,,,,,,,,,,,
,Poochyena,,Learnset,,Mightyena,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Howl,,,,1 - Howl,,,,
,,,1 - Sand Attack,,,,1 - Sand Attack,,,,
,,,5 - Howl,,,,5 - Howl,,,,
,,,9 - Bite,,,,9 - Bite,,,,
,DARK,,13 - Feint Attack,,DARK,,13 - Feint Attack,,,,
,Ability 1,Intimidate,17 - Knock Off,,Ability 1,Intimidate,17 - Knock Off,,,,
,Ability 2,Intimidate,22 - Crunch,,Ability 2,Intimidate,22 - Crunch,,,,
,Base Stats,,27 - Sucker Punch,,Base Stats,,27 - Sucker Punch,,,,
,HP,55(+20),32 - Flamethrower,,HP,80(+10),32 - Flamethrower,,,,
,Attack,30(-25),36 - Psychic,,Attack,55(-35),36 - Psychic,,,,
,Defense,45(+10),40 - Night Daze,,Defense,80(+10),40 - Night Daze,,,,
,Special Attack,85(+55),,,Special Attack,110(+50),,,,,
,Special Defense,45(+10),,,Special Defense,80(+20),,,,,
,Speed,75(+40),,,Speed,105(+35),,,,,
,,,,,Evolves at level 18.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Wurmple,,Learnset,,Silcoon,,Learnset,,Beautifly,,Learnset
,,,1 - Tackle,,,,1 - Tackle,,,,1 - Absorb
,,,1 - String Shot,,,,1 - String Shot,,,,16 - Gust
,,,1 - Poison Sting,,,,1 - Poison Sting,,,,16 - Silver Wind
,,,,,,,,,,,20 - Morning Sun
,,,,,,,,,,,24 - Aerial Ace
,BUG,,,,BUG,,,,BUG,FLYING,31 - Shadow Ball
,Ability 1,Shield Dust,,,Ability 1,Shield Dust,,,Ability 1,Swarm,34 - Signal Beam
,Ability 2,Shield Dust,,,Ability 2,Shield Dust,,,Ability 2,Swarm,38 - Aeroblast
,Base Stats,,,,Base Stats,,,,Base Stats,,42 - Leech Life
,HP,45,,,HP,50,,,HP,60,
,Attack,45,,,Attack,35,,,Attack,110(+40),
,Defense,35,,,Defense,55,,,Defense,60(+10),
,Special Attack,20,,,Special Attack,25,,,Special Attack,50(-40),
,Special Defense,30,,,Special Defense,25,,,Special Defense,60(+10),
,Speed,20,,,Speed,15,,,Speed,110(+45),
,,,,,Evolves at level 7.,,,,Evolves at level 16.,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,Cascoon,,Learnset,,Dustox,,Learnset
,,,,,,,1 - Tackle,,,,1 - Confusion
,,,,,,,1 - String Shot,,,,16 - Sludge
,,,,,,,1 - Poison Sting,,,,16 - Silver Wind
,,,,,,,,,,,17 - Protect
,,,,,,,,,,,20 - Moonlight
,,,,,BUG,,,,BUG,POISON,24 - Leech Life
,,,,,Ability 1,Shield Dust,,,Ability 1,Levitate,27 - Toxic
,,,,,Ability 2,Shield Dust,,,Ability 2,Levitate,31 - Sludge Bomb
,,,,,Base Stats,,,,Base Stats,,34 - Signal Beam
,,,,,HP,50,,,HP,100(+40),42 - Baton Pass
,,,,,Attack,35,,,Attack,100(+50),
,,,,,Defense,55,,,Defense,90(+10),
,,,,,Special Attack,25,,,Special Attack,50,
,,,,,Special Defense,25,,,Special Defense,110(+20),
,,,,,Speed,15,,,Speed,65,
,,,,,Evolves at level 7.,,,,Evolves at level 16.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Lotad,,Learnset,,Lombre,,Learnset,,Ludicolo,,Learnset
,,,1 - Water Gun,,,,1 - Water Gun,,,,1 - Water Gun
,,,3 - Growl,,,,3 - Growl,,,,3 - Growl
,,,7 - Absorb,,,,7 - Absorb,,,,7 - Absorb
,,,13 - Bubble Beam,,,,13 - Bubble Beam,,,,13 - Bubble Beam
,,,16 - Thunder Punch,,,,16 - Thunder Punch,,,,16 - Thunder Punch
,GRASS,WATER,19 - Fake Out,,GRASS,WATER,19 - Fake Out,,GRASS,WATER,19 - Fake Out
,Ability 1,Swift Swim,25 - Giga Drain,,Ability 1,Swift Swim,25 - Giga Drain,,Ability 1,Swift Swim,25 - Giga Drain
,Ability 2,Swift Swim,31 - Surf,,Ability 2,Swift Swim,31 - Surf,,Ability 2,Swift Swim,31 - Surf
,Base Stats,,36 - Leaf Blade,,Base Stats,,36 - Leaf Blade,,Base Stats,,36 - Leaf Blade
,HP,40,40 - Knock Off,,HP,70(+10),40 - Knock Off,,HP,80,40 - Knock Off
,Attack,30,43 - Magical Leaf,,Attack,50,43 - Magical Leaf,,Attack,60(-10),43 - Magical Leaf
,Defense,30,50 - Weather Ball,,Defense,70,50 - Weather Ball,,Defense,70,60 - Thunder
,Special Attack,40,60 - Thunder,,Special Attack,80(+20),60 - Thunder,,Special Attack,110(+20),84 - Hydro Cannon
,Special Defense,50,84 - Hydro Cannon,,Special Defense,70,84 - Hydro Cannon,,Special Defense,100,84 - Frenzy Plant
,Speed,30,84 - Frenzy Plant,,Speed,70(+20),84 - Frenzy Plant,,Speed,90(+20),
,,,,,Evolves at level 15,,,,Evolves at level 36.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Zigzagoon,,Learnset,,Linoone,,Learnset,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,1 - Growl,,,,1 - Growl,,,,
,,,1 - Tail Whip,,,,1 - Tail Whip,,,,
,,,1 - Headbutt,,,,1 - Headbutt,,,,
,,,13 - Crunch,,,,13 - Crunch,,,,
,NORMAL,,20 - Body Slam,,NORMAL,,20 - Body Slam,,,,
,Ability 1,Huge Power,23 - Swift,,Ability 1,Huge Power,23 - Swift,,,,
,Ability 2,Huge Power,25 - Ice Beam,,Ability 2,Huge Power,25 - Ice Beam,,,,
,Base Stats,,25 - Thunderbolt,,Base Stats,,25 - Thunderbolt,,,,
,HP,58(+20),25 - Flamethrower,,HP,78,25 - Flamethrower,,,,
,Attack,30,29 - Submission,,Attack,60(-10),29 - Submission,,,,
,Defense,51(+10),32 - Earthquake,,Defense,61,32 - Earthquake,,,,
,Special Attack,30,36 - Crush Claw,,Special Attack,100(+50),36 - Crush Claw,,,,
,Special Defense,51(+10),40 - ExtremeSpeed,,Special Defense,61,40 - ExtremeSpeed,,,,
,Speed,80(+20),43 - Double-Edge,,Speed,100,43 - Double-Edge,,,,
,,,50 - Flail,,Evolves at level 20.,,50 - Flail,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Seedot,,Learnset,,Nuzleaf,,Learnset,,Shiftry,,Learnset
,,,1 - Absorb,,,,1 - Absorb,,,,1 - Absorb
,,,3 - Harden,,,,3 - Harden,,,,3 - Harden
,,,13 - Faint Attack,,,,13 - Faint Attack,,,,13 - Faint Attack
,,,16 - Giga Drain,,,,16 - Giga Drain,,,,16 - Giga Drain
,,,19 - Fake Out,,,,19 - Fake Out,,,,19 - Fake Out
,GRASS,,25 - Sucker Punch,,GRASS,DARK,25 - Sucker Punch,,GRASS,DARK,25 - Sucker Punch
,Ability 1,Chlorophyll,31 - Crunch,,Ability 1,Chlorophyll,31 - Crunch,,Ability 1,Chlorophyll,31 - Crunch
,Ability 2,Chlorophyll,36 - Leaf Blade,,Ability 2,Chlorophyll,36 - Leaf Blade,,Ability 2,Chlorophyll,36 - Leaf Blade
,Base Stats,,40 - Knock Off,,Base Stats,,40 - Knock Off,,Base Stats,,40 - Knock Off
,HP,40,43 - Heat Wave,,HP,70,43 - Heat Wave,,HP,90,43 - Heat Wave
,Attack,40,55 - Night Daze,,Attack,50(-20),55 - Night Daze,,Attack,60(-40),55 - Night Daze
,Defense,50,60 - Frenzy Plant,,Defense,70(+30),60 - Frenzy Plant,,Defense,60,60 - Frenzy Plant
,Special Attack,30,,,Special Attack,80(+20),,,Special Attack,120(+30),
,Special Defense,30,,,Special Defense,40,,,Special Defense,60,
,Speed,30,,,Speed,80(+20),,,Speed,100(+20),
,,,,,Evolves at level 15.,,,,Evolves at Level 36.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Taillow,,Learnset,,Swellow,,Learnset,,,,
,,,1 - Peck,,,,1 - Peck,,,,
,,,1 - Growl,,,,1 - Growl,,,,
,,,1 - Focus Energy,,,,1 - Focus Energy,,,,
,,,8 - Quick Attack,,,,8 - Quick Attack,,,,
,,,13 - Wing Attack,,,,13 - Wing Attack,,,,
,NORMAL,FLYING,19 - Swift,,NORMAL,FLYING,19 - Swift,,,,
,Ability 1,Guts,30 - Return,,Ability 1,Guts,30 - Return,,,,
,Ability 2,Guts,38 - Aerial Ace,,Ability 2,Guts,38 - Aerial Ace,,,,
,Base Stats,,49 - ExtremeSpeed,,Base Stats,,49 - ExtremeSpeed,,,,
,HP,40,60 - Facade,,HP,60,60 - Facade,,,,
,Attack,55,70 - Sky Attack,,Attack,95(+10),70 - Sky Attack,,,,
,Defense,30,,,Defense,60,,,,,
,Special Attack,30,,,Special Attack,75,,,,,
,Special Defense,30,,,Special Defense,50,,,,,
,Speed,85,,,Speed,125,,,,,
,,,,,Evolves at level 22.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Wingull,,Learnset,,Pelipper,,Learnset,,,,
,,,1 - Growl,,,,1 - Growl,,,,
,,,3 - Water Gun,,,,3 - Water Gun,,,,
,,,13 - Wing Attack,,,,13 - Wing Attack,,,,
,,,17 - BubbleBeam,,,,17 - BubbleBeam,,,,
,,,20 - Counter,,,,20 - Counter,,,,
,FLYING,WATER,25 - Protect,,FLYING,WATER,25 - Protect,,,,
,Ability 1,Damp,40 - Surf,,Ability 1,Damp,40 - Surf,,,,
,Ability 2,Damp,40 - Aeroblast,,Ability 2,Damp,40 - Aeroblast,,,,
,Base Stats,,47 - Recover,,Base Stats,,47 - Recover,,,,
,HP,40,60 - Hydro Cannon,,HP,80(+20),60 - Hydro Cannon,,,,
,Attack,70(+40),60 - Sky Attack,,Attack,100(+50),60 - Sky Attack,,,,
,Defense,30,,,Defense,140(+40),,,,,
,Special Attack,85(+30),,,Special Attack,100(+15),,,,,
,Special Defense,30,,,Special Defense,70,,,,,
,Speed,95(+10),,,Speed,70(+5),,,,,
,,,,,Evolves at level 25.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Surskit,,Learnset,,Masquerain,,Learnset,,,,
,,,1 - Bubble,,,,1 - Bubble,,,,
,,,1 - Quick Attack,,,,1 - Quick Attack,,,,
,,,1 - Water Sport,,,,1 - Water Sport,,,,
,,,7 - Water Gun,,,,7 - Water Gun,,,,
,,,13 - Leech Life,,,,13 - Leech Life,,,,
,BUG,WATER,16 - Bubble Beam,,BUG,WATER,16 - Bubble Beam,,,,
,Ability 1,Swift Swim,20 - Ice Beam,,Ability 1,Compoundeyes,20 - Ice Beam,,,,
,Ability 2,Swift Swim,23 - Aeroblast,,Ability 2,Compoundeyes,23 - Aeroblast,,,,
,Base Stats,,26 - Giga Drain,,Base Stats,,26 - Giga Drain,,,,
,HP,40,33 - Surf,,HP,70,33 - Surf,,,,
,Attack,70(+40),36 - Signal Beam,,Attack,100(+40),36 - Signal Beam,,,,
,Defense,32,40 - Twineedle,,Defense,62,40 - Twineedle,,,,
,Special Attack,70(+20),45 - Megahorn,,Special Attack,100,45 - Megahorn,,,,
,Special Defense,72(+20),50 - Hydro Pump,,Special Defense,62,50 - Hydro Pump,,,,
,Speed,95(+30),55 - Blizzard,,Speed,100(+20),55 - Blizzard,,,,
,,,60 - Hydro Cannon,,Evolves at level 22.,,60 - Hydro Cannon,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Shroomish,,Learnset,,Breloom,,Learnset,,,,
,,,1 - Absorb,,,,1 - Absorb,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,7 - Stun Spore,,,,7 - Stun Spore,,,,
,,,10 - Leech Seed,,,,10 - Leech Seed,,,,
,,,16 - Mega Drain,,,,16 - Mega Drain,,,,
,GRASS,,20 - Giga Drain,,GRASS,FIGHTING,20 - Giga Drain,,,,
,Ability 1,Effect Spore,23 - Mach Punch,,Ability 1,Speed Boost,23 - Mach Punch,,,,
,Ability 2,Effect Spore,28 - Brick Break,,Ability 2,Speed Boost,28 - Brick Break,,,,
,Base Stats,,33 - Rock Slide,,Base Stats,,33 - Rock Slide,,,,
,HP,80(+20),36 - Leaf Blade,,HP,60,36 - Leaf Blade,,,,
,Attack,40,40 - Magical Leaf,,Attack,130,40 - Magical Leaf,,,,
,Defense,80(+20),45 - Sky Uppercut,,Defense,80,45 - Sky Uppercut,,,,
,Special Attack,70(+30),50 - Protect,,Special Attack,100(+40),50 - Protect,,,,
,Special Defense,60,74 - Frenzy Plant,,Special Defense,60,74 - Frenzy Plant,,,,
,Speed,35,74 - Superpower,,Speed,70,74 - Superpower,,,,
,,,,,Evolves at level 23.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Slakoth,,Learnset,,Vigoroth,,Learnset,,Slaking,,Learnset
,,,1 - Scratch,,,,1 - Scratch,,,,1 - Scratch
,,,1 - Yawn,,,,1 - Yawn,,,,1 - Yawn
,,,1 - Encore,,,,1 - Encore,,,,1 - Encore
,,,1 - Slack Off,,,,1 - Slack Off,,,,1 - Slack Off
,,,7 - Encore,,,,7 - Encore,,,,7 - Encore
,NORMAL,,13 - Swift,,NORMAL,,13 - Swift,,NORMAL,,13 - Swift
,Ability 1,Vital Spirit,19 - Knock Off,,Ability 1,Vital Spirit,19 - Knock Off,,Ability 1,Truant,19 - Knock Off
,Ability 2,Vital Spirit,25 - Protect,,Ability 2,Vital Spirit,25 - Protect,,Ability 2,Truant,25 - Protect
,Base Stats,,31 - Crush Claw,,Base Stats,,31 - Crush Claw,,Base Stats,,31 - Crush Claw
,HP,60,36 - Earthquake,,HP,80,36 - Earthquake,,HP,150,36 - Earthquake
,Attack,60,40 - Counter,,Attack,80,40 - Counter,,Attack,160,40 - Counter
,Defense,60,44 - Flail,,Defense,80,44 - Flail,,Defense,100,44 - Flail
,Special Attack,35,50 - Double-Edge,,Special Attack,55,50 - Double-Edge,,Special Attack,65(-30),50 - Double-Edge
,Special Defense,35,,,Special Defense,55,,,Special Defense,95(+30),
,Speed,30,,,Speed,90,,,Speed,100,
,,,,,Evolves at level 18.,,,,Evolves at level 36.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Nincada,,Learnset,,Ninjask,,Learnset,,,,
,,,1 - Reversal,,,,1 - Reversal,,,,
,,,1 - Leer,,,,1 - Leer,,,,
,,,11 - Endure,,,,11 - Endure,,,,
,,,17 - Silver Wind,,,,17 - Silver Wind,,,,
,,,21 - Brick Break,,,,21 - Brick Break,,,,
,BUG,GROUND,26 - Leech Life,,BUG,FIGHTING,26 - Leech Life,,,,
,Ability 1,Compoundeyes,33 - Rock Slide,,Ability 1,Speed Boost,33 - Rock Slide,,,,
,Ability 2,Compoundeyes,38 - Leech Life,,Ability 2,Speed Boost,38 - Leech Life,,,,
,Base Stats,,45 - Shadow Ball,,Base Stats,,45 - Shadow Ball,,,,
,HP,31,50 - Sky Uppercut,,HP,61,50 - Sky Uppercut,,,,
,Attack,45,60 - Horn Drill,,Attack,125(+35),60 - Horn Drill,,,,
,Defense,90,74 - Superpower,,Defense,40,74 - Superpower,,,,
,Special Attack,30,,,Special Attack,50,,,,,
,Special Defense,30,,,Special Defense,50,,,,,
,Speed,40,,,Speed,160,,,,,
,,,,,Evolves at level 20.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Ralts,,1 - Growl,,Kirlia,,Learnset,,Gardevoir,,Learnset
,,,1 - Confusion,,,,1 - Growl,,,,1 - Growl
,,,6 - Confusion,,,,1 - Confusion,,,,1 - Confusion
,,,11 - Psybeam,,,,6 - Confusion,,,,6 - Confusion
,,,16 - Magical Leaf,,,,11 - Psybeam,,,,11 - Psybeam
,,,21 - Shock Wave,,,,16 - Magical Leaf,,,,16 - Magical Leaf
,PSYCHIC,,30 - Psychic,,PSYCHIC,,21 - Shock Wave,,PSYCHIC,,21 - Shock Wave
,Ability 1,Trace,36 - Flamethrower,,Ability 1,Trace,30 - Psychic,,Ability 1,Trace,30 - Psychic
,Ability 2,Trace,42 - Ice Beam,,Ability 2,Trace,36 - Flamethrower,,Ability 2,Trace,36 - Flamethrower
,Base Stats,,51 - Mist Ball,,Base Stats,,42 - Ice Beam,,Base Stats,,42 - Ice Beam
,HP,28,60 - Psycho Boost,,HP,38,51 - Mist Ball,,HP,90(+22),51 - Mist Ball
,Attack,25,,,Attack,35,60 - Psycho Boost,,Attack,45(-20),60 - Psycho Boost
,Defense,25,,,Defense,35,,,Defense,65,
,Special Attack,45,,,Special Attack,65,,,Special Attack,125,
,Special Defense,35,,,Special Defense,55,,,Special Defense,115,
,Speed,40,,,Speed,50,,,Speed,100(+20),
,,,,,Evolves at level 20.,,,,Evolves at level 30.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Whismur,,Learnset,,Loudred,,Learnset,,Exploud,,Learnset
,,,1 - Pound,,,,1 - Pound,,,,1 - Pound
,,,1 - Uproar,,,,1 - Uproar,,,,1 - Uproar
,,,11 - Spark,,,,11 - Spark,,,,11 - Spark
,,,15 - Knock Off,,,,15 - Knock Off,,,,15 - Knock Off
,,,23 - Body Slam,,,,23 - Body Slam,,,,23 - Body Slam
,NORMAL,ELECTRIC,30 - Hyper Voice,,NORMAL,ELECTRIC,30 - Hyper Voice,,NORMAL,ELECTRIC,30 - Hyper Voice
,Ability 1,Compoundeyes,36 - Thunderbolt,,Ability 1,Compoundeyes,36 - Thunderbolt,,Ability 1,Compoundeyes,36 - Thunderbolt
,Ability 2,Compoundeyes,40 - Shadow Ball,,Ability 2,Compoundeyes,40 - Shadow Ball,,Ability 2,Compoundeyes,40 - Shadow Ball
,Base Stats,,45 - Superpower,,Base Stats,,45 - Superpower,,Base Stats,,45 - Superpower
,HP,64,50 - Hyper Beam,,HP,84,50 - Hyper Beam,,HP,109(+5),50 - Hyper Beam
,Attack,51,60 - Thunder,,Attack,71,60 - Thunder,,Attack,116(+25),60 - Thunder
,Defense,23,60 - Fire Blast,,Defense,43,60 - Fire Blast,,Defense,63,60 - Fire Blast
,Special Attack,51,60 - Blizzard,,Special Attack,71,60 - Blizzard,,Special Attack,116(+25),60 - Blizzard
,Special Defense,23,,,Special Defense,43,,,Special Defense,73,
,Speed,28,,,Speed,48,,,Speed,108(+40),
,,,,,Evolves at level 30.,,,,Evolves at level 55.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Makuhita,,Learnset,,Hariyama,,Learnset,,,,
,,,1 - Mach Punch,,,,1 - Mach Punch,,,,
,,,1 - Focus Energy,,,,1 - Focus Energy,,,,
,,,1 - Sand Attack,,,,1 - Sand Attack,,,,
,,,4 - Facade,,,,4 - Facade,,,,
,,,10 - Karate Chop,,,,10 - Karate Chop,,,,
,FIGHTING,,13 - Vital Throw,,FIGHTING,,13 - Vital Throw,,,,
,Ability 1,Thick Fat,19 - Fake Out,,Ability 1,Thick Fat,19 - Fake Out,,,,
,Ability 2,Guts,22 - Brick Break,,Ability 2,Guts,22 - Brick Break,,,,
,Base Stats,,29 - Knock Off,,Base Stats,,29 - Knock Off,,,,
,HP,92(+20),33 - Rock Slide,,HP,144,33 - Rock Slide,,,,
,Attack,80(+20),40 - Shadow Ball,,Attack,120,40 - Shadow Ball,,,,
,Defense,50(+20),44 - Earthquake,,Defense,80(+20),44 - Earthquake,,,,
,Special Attack,20,50 - Cross Chop,,Special Attack,40,50 - Cross Chop,,,,
,Special Defense,50(+20),55 - Reversal,,Special Defense,80(+20),55 - Reversal,,,,
,Speed,25,60 - Superpower,,Speed,50,60 - Superpower,,,,
,,,,,Evolves at level 24.,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Skitty,,Learnset,,Delcatty,,Learnset,,,,
,,,1 - Growl,,,,1 - Growl,,,,
,,,1 - Tackle,,,,1 - Tackle,,,,
,,,3 - Tail Whip,,,,3 - Tail Whip,,,,
,,,7 - Bite,,,,7 - Bite,,,,
,,,13 - Slash,,,,13 - Slash,,,,
,NORMAL,,15 - Fake Out,,NORMAL,,15 - Fake Out,,,,
,Ability 1,Cute Charm,19 - Encore,,Ability 1,Cute Charm,19 - Encore,,,,
,Ability 2,Cute Charm,20 - Ice Beam,,Ability 2,Cute Charm,20 - Ice Beam,,,,
,Base Stats,,20 - Thunderbolt,,Base Stats,,20 - Thunderbolt,,,,
,HP,55,20 - Flamethrower,,HP,60(-10),20 - Flamethrower,,,,
,Attack,65(+10),23 - Swift,,Attack,110(+45),23 - Swift,,,,
,Defense,45,26 - Faint Attack,,Defense,60(-5),26 - Faint Attack,,,,
,Special Attack,65(+30),28 - Hyper Voice,,Special Attack,110(+55),28 - Hyper Voice,,,,
,Special Defense,40,32 - Psycho Boost,,Special Defense,60(-5),32 - Psycho Boost,,,,
,Speed,80(+30),36 - Double-Edge,,Speed,120(+30),36 - Double-Edge,,,,
,,,43 - Hyper Beam,,Evolves at level 20.,,43 - Hyper Beam,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Nosepass,,Learnset,,,,,,,,
,,,1 - Tackle,,,,,,,,
,,,7 - Thundershock,,,,,,,,
,,,13 - Rock Tomb,,,,,,,,
,,,16 - Spark,,,,,,,,
,,,22 - Thunder Wave,,,,,,,,
,ROCK,ELECTRIC,31 - Rock Slide,,,,,,,,
,Ability 1,Levitate,37 - Rest,,,,,,,,
,Ability 2,Levitate,43 - Thunderbolt,,,,,,,,
,Base Stats,,46 - Strength,,,,,,,,
,HP,70(+40),50 - Baton Pass,,,,,,,,
,Attack,95(+50),60 - Zap Cannon,,,,,,,,
,Defense,135,,,,,,,,,
,Special Attack,95(+50),,,,,,,,,
,Special Defense,120(+30),,,,,,,,,
,Speed,30,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Meditite,,Learnset,,Medicham,,Learnset,,,,
,,,1 - Fire Punch,,,,1 - Fire Punch,,,,
,,,1 - Thunder Punch,,,,1 - Thunder Punch,,,,
,,,1 - Ice Punch,,,,1 - Ice Punch,,,,
,,,1 - Confusion,,,,1 - Confusion,,,,
,,,1 - Detect,,,,1 - Detect,,,,
,FIGHTING,PSYCHIC,9 - Karate Chop,,FIGHTING,PSYCHIC,9 - Karate Chop,,,,
,Ability 1,Pure Power,17 - Psybeam,,Ability 1,Pure Power,17 - Psybeam,,,,
,Ability 2,Pure Power,20 - Rock Smash,,Ability 2,Pure Power,20 - Rock Smash,,,,
,Base Stats,,25 - Fake Out,,Base Stats,,25 - Fake Out,,,,
,HP,50(+20),28 - Brick Break,,HP,60,28 - Brick Break,,,,
,Attack,40,33 - Vital Throw,,Attack,75(+15),33 - Vital Throw,,,,
